num__age,num__income,num__family,num__mortgage,cat__age_bracket_name_Baby boomers,cat__age_bracket_name_Generation X,cat__age_bracket_name_Generation Z,cat__age_bracket_name_Millennials,cat__education_ensino_medio,cat__education_ensino_superior,cat__education_pos_graduacao,credit_card
0.75,-0.3442622950819672,1.0,1.9207920792079207,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.7,0.29508196721311475,1.0,1.1485148514851484,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,-0.3770491803278688,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
-0.4,-0.03278688524590164,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,-0.08196721311475409,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
-0.75,0.09836065573770492,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
-0.2,1.4918032786885247,-0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.8,-0.6885245901639344,1.0,1.2178217821782178,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.55,-0.14754098360655737,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1.0,-0.7049180327868853,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.05,-0.13114754098360656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.35,-0.32786885245901637,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.5,0.26229508196721313,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.2,-0.13114754098360656,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
-0.45,0.8524590163934426,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
-0.35,-0.7049180327868853,1.0,0.7821782178217822,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
-0.95,0.36065573770491804,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
-0.9,-0.5409836065573771,-0.5,0.7920792079207921,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
-0.3,-0.6229508196721312,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.6,-0.36065573770491804,-0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
-0.25,1.8032786885245902,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.25,0.47540983606557374,-0.5,2.108910891089109,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0.4,1.9836065573770492,-0.5,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.25,0.26229508196721313,-0.5,3.0396039603960396,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
-0.9,1.2295081967213115,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.25,0.639344262295082,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
-0.1,-0.5573770491803278,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
-0.65,0.8032786885245902,-0.5,3.623762376237624,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.85,0.19672131147540983,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.85,1.180327868852459,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.55,-0.01639344262295082,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.15,-0.3770491803278688,0.5,0.8613861386138614,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
-0.3,-0.13114754098360656,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
-0.75,0.5737704918032787,1.0,1.2772277227722773,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
-1.0,-0.819672131147541,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
-0.8,-0.5245901639344263,1.0,1.5940594059405941,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
-0.65,-0.45901639344262296,0.5,1.1485148514851484,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.8,-0.13114754098360656,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.45,-0.04918032786885246,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
-0.6,0.6229508196721312,-0.5,2.3069306930693068,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.5,-0.5737704918032787,0.0,0.8118811881188119,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
