ID,age,experience,income,zip_code,family,cc_avg,education,mortgage,personal_loan,securities_account,cd_account,online,credit_card,age_bracket,age_bracket_name,income_per_family_member,cc_to_income_ratio,debt_to_income_ratio,financial_maturity_index,experience_bracket,education_degree,num__age,num__income,num__family,num__mortgage,cat__age_bracket_name_Baby boomers,cat__age_bracket_name_Generation X,cat__age_bracket_name_Generation Z,cat__age_bracket_name_Millennials,cat__education_ensino_medio,cat__education_ensino_superior,cat__education_pos_graduacao
1,25,1,49,91107,4,1.6,ensino_medio,0,0,1,0,0,0,1,Generation Z,9.8,0.0326530612244898,0.0326530612244898,30.625,1,high school,0.75,-0.3442622950819672,1.0,1.9207920792079207,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,45,19,34,90089,3,1.5,ensino_medio,0,0,1,0,0,0,3,Generation X,8.5,0.0441176470588235,0.0441176470588235,22.666666666666668,2,high school,-0.7,0.29508196721311475,1.0,1.1485148514851484,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,39,15,11,94720,1,1.0,ensino_medio,0,0,0,0,0,0,2,Millennials,5.5,0.0909090909090909,0.0909090909090909,11.0,2,high school,0.0,-0.3770491803278688,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,35,9,100,94112,1,2.7,ensino_superior,0,0,0,0,0,0,2,Millennials,50.0,0.027,0.027,37.03703703703704,1,college,-0.4,-0.03278688524590164,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,35,8,45,91330,4,1.0,ensino_superior,0,0,0,0,0,1,2,Millennials,9.0,0.0222222222222222,0.0222222222222222,45.0,1,college,0.0,-0.08196721311475409,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,37,13,29,92121,4,0.4,ensino_superior,155,0,0,0,1,0,2,Millennials,5.8,0.0137931034482758,5.358620689655172,72.5,2,college,-0.75,0.09836065573770492,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,53,27,72,91711,2,1.5,ensino_superior,0,0,0,0,1,0,3,Generation X,24.0,0.0208333333333333,0.0208333333333333,48.0,2,college,-0.2,1.4918032786885247,-0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,50,24,22,93943,1,0.3,pos_graduacao,0,0,0,0,0,1,3,Generation X,11.0,0.0136363636363636,0.0136363636363636,73.33333333333334,2,postgraduate,0.8,-0.6885245901639344,1.0,1.2178217821782178,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9,35,10,81,90089,3,0.6,ensino_superior,104,0,0,0,1,0,2,Millennials,20.25,0.0074074074074074,1.291358024691358,135.0,2,college,0.55,-0.14754098360655737,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,34,9,180,93023,1,8.9,pos_graduacao,0,1,0,0,0,0,2,Millennials,90.0,0.0494444444444444,0.0494444444444444,20.224719101123597,1,postgraduate,1.0,-0.7049180327868853,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11,65,39,105,94710,4,2.4,pos_graduacao,0,0,0,0,0,0,4,Baby boomers,21.0,0.0228571428571428,0.0228571428571428,43.75,3,postgraduate,1.05,-0.13114754098360656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12,29,5,45,90277,3,0.1,ensino_superior,0,0,0,0,1,0,2,Millennials,11.25,0.0022222222222222,0.0022222222222222,450.0,1,college,0.35,-0.32786885245901637,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
13,48,23,114,93106,2,3.8,pos_graduacao,0,0,1,0,0,0,3,Generation X,38.0,0.0333333333333333,0.0333333333333333,30.0,2,postgraduate,0.5,0.26229508196721313,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14,59,32,40,94920,4,2.5,ensino_superior,0,0,0,0,1,0,4,Baby boomers,8.0,0.0625,0.0625,16.0,3,college,0.2,-0.13114754098360656,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15,67,41,112,91741,1,2.0,ensino_medio,0,0,1,0,0,0,4,Baby boomers,56.0,0.0178571428571428,0.0178571428571428,56.0,4,high school,-0.45,0.8524590163934426,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16,60,30,22,95054,1,1.5,pos_graduacao,0,0,0,0,1,1,4,Baby boomers,11.0,0.0681818181818181,0.0681818181818181,14.666666666666666,3,postgraduate,-0.35,-0.7049180327868853,1.0,0.7821782178217822,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17,38,14,130,95010,4,4.7,pos_graduacao,134,1,0,0,0,0,2,Millennials,26.0,0.0361538461538461,1.0669230769230769,27.659574468085104,2,postgraduate,-0.95,0.36065573770491804,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
